,Geneid,TPM,Log
26717,LOC_Os05g45310,85.56010855,1.937317792
26718,LOC_Os05g45320,35.31169129,1.560046477
26719,LOC_Os05g45330,8.704307064,0.98696453
26720,LOC_Os05g45340,44.22216974,1.655351396
26721,LOC_Os05g45350,99.0611165,2.000265345
26722,LOC_Os05g45360,0.053913998,0.022805173
26723,LOC_Os05g45370,3.374486483,0.640927079
26724,LOC_Os05g45380,37.94859307,1.590491774
26725,LOC_Os05g45390,1.514198195,0.40039951
26726,LOC_Os05g45400,199.2213188,2.301510318
26727,LOC_Os05g45410,23.91157655,1.396401213
26728,LOC_Os05g45420,201.77713,2.307018972
26729,LOC_Os05g45430,172.9380169,2.240394514
26730,LOC_Os05g45440,44.31152394,1.656208669
26731,LOC_Os05g45450,31.76210298,1.515371771
26732,LOC_Os05g45460,169.2542961,2.23109808
26733,LOC_Os05g45470,0.335392149,0.125608819
26734,LOC_Os05g45480,29.90862266,1.490079653
26735,LOC_Os05g45490,125.530322,2.102194613
26736,LOC_Os05g45500,4.620112521,0.749745011
26737,LOC_Os05g45510,11.17030292,1.085301388
26738,LOC_Os05g45520,0.105073491,0.043391161
26739,LOC_Os05g45530,0.114324846,0.047011814
26740,LOC_Os05g45540,0.177602096,0.07099857
26741,LOC_Os05g45550,0.027316556,0.011704287
26742,LOC_Os05g45560,0.232216498,0.090687019
26743,LOC_Os05g45570,15.33104928,1.213014089
26744,LOC_Os05g45580,33.51257211,1.537977327
26745,LOC_Os05g45590,54.49809849,1.744278103
26746,LOC_Os05g45600,0.643483195,0.215765268
26747,LOC_Os05g45610,44.23435015,1.655468355
26748,LOC_Os05g45620,0.010604917,0.004581407
26749,LOC_Os05g45630,0.011277748,0.004870451
26750,LOC_Os05g45640,0.060714186,0.025598377
26751,LOC_Os05g45650,0.019160523,0.008242593
26752,LOC_Os05g45660,296.5390308,2.473543944
26753,LOC_Os05g45670,3.349088615,0.638398257
26754,LOC_Os05g45680,2.598458783,0.556116533
26755,LOC_Os05g45690,3.445252771,0.647896461
26756,LOC_Os05g45700,1.794230728,0.446262264
26757,LOC_Os05g45710,56.94808147,1.763039062
26758,LOC_Os05g45720,63.99415439,1.812874298
26759,LOC_Os05g45730,171.8862235,2.237760388
26760,LOC_Os05g45740,52.63527619,1.729450521
26761,LOC_Os05g45750,92.38503544,1.970277288
26762,LOC_Os05g45760,19.35445312,1.308659438
26763,LOC_Os05g45770,28.91724366,1.475921579
26764,LOC_Os05g45779,0,0
26765,LOC_Os05g45790,0,0
26766,LOC_Os05g45800,0.00795071,0.003439295
26767,LOC_Os05g45810,53.5086047,1.736465065
26768,LOC_Os05g45820,11.92525773,1.111439212
26769,LOC_Os05g45830,41.46249169,1.628005475
26770,LOC_Os05g45840,84.35792306,1.931243839
26771,LOC_Os05g45850,15.73911115,1.223732393
26772,LOC_Os05g45860,11.77089304,1.106221268
26773,LOC_Os05g45870,15.94754562,1.229106812
26774,LOC_Os05g45875,24.06922439,1.399140898
26775,LOC_Os05g45880,10.57100644,1.063371135
26776,LOC_Os05g45890,43.00065452,1.643459137
26777,LOC_Os05g45900,37.81733438,1.589025709
26778,LOC_Os05g45910,174.8321866,2.245098377
26779,LOC_Os05g45920,22.76181352,1.375879583
26780,LOC_Os05g45930,233.2510793,2.369681601
26781,LOC_Os05g45940,105.7595036,2.028406546
26782,LOC_Os05g45950,248.9247716,2.397809304
26783,LOC_Os05g45954,1.99501681,0.476399264
26784,LOC_Os05g45970,0.011484039,0.004959034
26785,LOC_Os05g45980,6.492923693,0.87465131
26786,LOC_Os05g45990,10.35085397,1.055028536
26787,LOC_Os05g46000,15.04507636,1.205341788
26788,LOC_Os05g46010,0.019876942,0.008547773
26789,LOC_Os05g46020,110.0765035,2.0456222
26790,LOC_Os05g46030,111.8979852,2.052686191
26791,LOC_Os05g46040,110.9312809,2.048951474
26792,LOC_Os05g46050,0.288751514,0.110169189
26793,LOC_Os05g46060,0.1432697,0.058148694
26794,LOC_Os05g46070,0.218270333,0.085743669
26795,LOC_Os05g46090,0.928292437,0.285172898
26796,LOC_Os05g46100,0.162429974,0.0653668
26797,LOC_Os05g46110,3.579191289,0.660788786
26798,LOC_Os05g46120,0.170379761,0.068326803
26799,LOC_Os05g46130,0.103224851,0.042664036
26800,LOC_Os05g46140,31.03152273,1.505577585
26801,LOC_Os05g46150,5.601794272,0.819661987
26802,LOC_Os05g46160,0.248379169,0.096346513
26803,LOC_Os05g46170,1.843595488,0.453867816
26804,LOC_Os05g46180,0.340277202,0.12719463
26805,LOC_Os05g46190,0.552278089,0.190969527
26806,LOC_Os05g46200,141.341352,2.153331086
26807,LOC_Os05g46210,38.86384069,1.600579139
